0;0;0
1;0;4
2;0;4
3;0;4
4;0;4
5;0;4
6;0;4
7;0;4
8;0;4
9;0;4
10;0;4
11;0;4
12;0;4
13;0;0
14;0;4
15;0;4
0;1;2
1;1;9
2;1;5
3;1;5
4;1;5
5;1;5
6;1;5
7;1;5
8;1;5
9;1;5
10;1;5
11;1;5
12;1;5
13;1;4
14;1;5
15;1;1
0;2;2
1;2;10
2;2;9
3;2;5
4;2;1
5;2;5
6;2;5
7;2;5
8;2;5
9;2;5
10;2;5
11;2;5
12;2;5
13;2;5
14;2;3
15;2;8
0;3;2
1;3;10
2;3;8
3;3;3
4;3;10
5;3;9
6;3;5
7;3;3
8;3;9
9;3;7
10;3;9
11;3;5
12;3;3
13;3;11
14;3;10
15;3;8
0;4;2
1;4;10
2;4;10
3;4;10
4;4;8
5;4;0
6;4;7
7;4;12
8;4;2
9;4;9
10;4;4
11;4;7
12;4;8
13;4;2
14;4;10
15;4;8
0;5;2
1;5;10
2;5;10
3;5;12
4;5;6
5;5;14
6;5;13
7;5;5
8;5;4
9;5;4
10;5;7
11;5;13
12;5;6
13;5;10
14;5;10
15;5;8
0;6;2
1;6;10
2;6;8
3;6;3
4;6;9
5;6;3
6;6;9
7;6;5
8;6;1
9;6;3
10;6;13
11;6;1
12;6;3
13;6;10
14;6;10
15;6;8
0;7;2
1;7;10
2;7;10
3;7;10
4;7;10
5;7;10
6;7;10
7;7;9
8;7;2
9;7;10
10;7;9
11;7;6
12;7;10
13;7;10
14;7;10
15;7;8
0;8;2
1;8;10
2;8;10
3;8;10
4;8;10
5;8;10
6;8;10
7;8;12
8;8;6
9;8;8
10;8;6
11;8;9
12;8;2
13;8;10
14;8;10
15;8;8
0;9;2
1;9;10
2;9;10
3;9;12
4;9;6
5;9;10
6;9;12
7;9;5
8;9;5
9;9;6
10;9;9
11;9;6
12;9;14
13;9;10
14;9;10
15;9;8
0;10;2
1;10;10
2;10;10
3;10;13
4;10;5
5;10;4
6;10;5
7;10;5
8;10;1
9;10;7
10;10;12
11;10;5
12;10;5
13;10;2
14;10;10
15;10;8
0;11;2
1;11;10
2;11;10
3;11;9
4;11;5
5;11;5
6;11;5
7;11;5
8;11;4
9;11;1
10;11;7
11;11;11
12;11;9
13;11;6
14;11;10
15;11;8
0;12;2
1;12;10
2;12;10
3;12;12
4;12;5
5;12;5
6;12;5
7;12;5
8;12;3
9;12;12
10;12;3
11;12;10
12;12;12
13;12;3
14;12;10
15;12;8
0;13;2
1;13;10
2;13;10
3;13;9
4;13;5
5;13;3
6;13;9
7;13;3
8;13;12
9;13;3
10;13;12
11;13;2
12;13;9
13;13;6
14;13;10
15;13;8
0;14;2
1;14;10
2;14;10
3;14;8
4;14;7
5;14;12
6;14;6
7;14;12
8;14;5
9;14;4
10;14;7
11;14;12
12;14;4
13;14;5
14;14;6
15;14;8
0;15;0
1;15;0
2;15;0
3;15;0
4;15;1
5;15;1
6;15;1
7;15;1
8;15;1
9;15;1
10;15;1
11;15;1
12;15;1
13;15;1
14;15;1
15;15;0
